"LINE_ID","SHIFT_CALENDAR_ID","SHIFT_ID","REPETITION_TP","REPETITION_DATA","SETTING_NAME","TIMEZONE_PATTERN_ID","DISPLAY_TEXT","BACKGROUND_COLOR","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"7","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2867","2018-11-07 12:09:03","A2867","2018-11-07 12:09:03","1"
"7","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A2867","2018-11-07 12:09:03","A2867","2018-11-07 12:09:03","1"
"7","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2867","2018-11-07 12:09:03","A2867","2018-11-07 12:09:03","1"
"7","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2867","2018-11-07 12:09:03","A2867","2018-11-07 12:09:03","1"
"7","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2867","2018-11-07 12:09:03","A2867","2018-11-07 12:09:03","1"
"7","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2867","2018-11-07 12:09:03","A2867","2018-11-07 12:09:03","1"
"7","2","1","2","9_1","繰り返し設定1","2","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","2","1","2","9_2","繰り返し設定1","2","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","2","1","2","9_3","繰り返し設定1","2","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","2","1","2","9_4","繰り返し設定1","2","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","2","1","2","9_5","繰り返し設定1","2","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","2","1","2","9_6","繰り返し設定1","2","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","3","1","2","9_1","繰り返し設定1","3","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","3","1","2","9_2","繰り返し設定1","3","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","3","1","2","9_3","繰り返し設定1","3","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","3","1","2","9_4","繰り返し設定1","3","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","3","1","2","9_5","繰り返し設定1","3","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","3","1","2","9_6","繰り返し設定1","3","","FFFFFF","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","4","1","2","9_6","繰り返し設定1","4","","FFFFFF","B86962","2019-09-20 12:16:48","B86962","2019-09-20 12:16:48","1"
"7","5","1","2","9_1","繰り返し設定1","5","","FFFFFF","B86962","2019-09-20 12:16:48","B86962","2019-09-20 12:16:48","1"
"7","5","1","2","9_2","繰り返し設定1","5","","FFFFFF","B86962","2019-09-20 12:16:48","B86962","2019-09-20 12:16:48","1"
"7","5","1","2","9_3","繰り返し設定1","5","","FFFFFF","B86962","2019-09-20 12:16:48","B86962","2019-09-20 12:16:48","1"
"7","5","1","2","9_4","繰り返し設定1","5","","FFFFFF","B86962","2019-09-20 12:16:48","B86962","2019-09-20 12:16:48","1"
"7","5","1","2","9_5","繰り返し設定1","5","","FFFFFF","B86962","2019-09-20 12:16:48","B86962","2019-09-20 12:16:48","1"
"7","5","1","2","9_6","繰り返し設定1","5","","FFFFFF","B86962","2019-09-20 12:16:48","B86962","2019-09-20 12:16:48","1"
"7","6","1","2","9_1","繰り返し設定1","6","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","7","1","2","9_1","繰り返し設定1","7","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","7","1","2","9_2","繰り返し設定1","7","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","7","1","2","9_3","繰り返し設定1","7","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","7","1","2","9_4","繰り返し設定1","7","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","7","1","2","9_5","繰り返し設定1","7","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","7","1","2","9_6","繰り返し設定1","7","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","8","1","2","9_2","繰り返し設定1","8","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","9","1","2","9_1","繰り返し設定1","9","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","9","1","2","9_2","繰り返し設定1","9","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","9","1","2","9_3","繰り返し設定1","9","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","9","1","2","9_4","繰り返し設定1","9","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","9","1","2","9_5","繰り返し設定1","9","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","9","1","2","9_6","繰り返し設定1","9","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","10","1","2","9_1","繰り返し設定1","10","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","11","1","2","9_1","繰り返し設定1","11","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","11","1","2","9_2","繰り返し設定1","11","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","11","1","2","9_3","繰り返し設定1","11","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","11","1","2","9_4","繰り返し設定1","11","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","11","1","2","9_5","繰り返し設定1","11","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","11","1","2","9_6","繰り返し設定1","11","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","12","1","2","9_6","繰り返し設定1","12","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","13","1","2","9_1","繰り返し設定1","13","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","13","1","2","9_2","繰り返し設定1","13","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","13","1","2","9_3","繰り返し設定1","13","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","13","1","2","9_4","繰り返し設定1","13","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","13","1","2","9_5","繰り返し設定1","13","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","13","1","2","9_6","繰り返し設定1","13","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","14","1","2","9_3","繰り返し設定1","14","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","15","1","2","9_1","繰り返し設定1","15","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","15","1","2","9_2","繰り返し設定1","15","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","15","1","2","9_3","繰り返し設定1","15","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","15","1","2","9_4","繰り返し設定1","15","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","15","1","2","9_5","繰り返し設定1","15","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","15","1","2","9_6","繰り返し設定1","15","","FFFFFF","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
