"LINE_ID","SHIFT_CALENDAR_ID","PERIOD_FROM","PERIOD_TO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","2018-02-22","2018-03-21","A2062","2018-02-22 16:31:39","A1589","2018-03-22 11:03:00","2"
"1","3","2018-03-22","2018-04-15","A1589","2018-03-22 11:11:59","A1589","2018-04-16 09:49:54","2"
"1","4","2018-04-16","2019-08-04","A1589","2018-04-16 09:49:53","A3219","2019-08-05 18:21:58","3"
"1","5","2019-11-01","2019-11-10","A3219","2019-08-05 18:30:07","B81167","2019-11-01 10:04:43","2"
"1","6","2019-11-11","2019-11-11","B81167","2019-11-01 10:04:43","B81167","2019-11-01 10:04:43","1"
"1","7","2019-11-12","2019-11-12","B81167","2019-11-01 10:04:43","B81167","2019-11-01 10:04:43","2"
"1","8","2019-11-13","2019-11-13","B81167","2019-11-01 10:04:43","B81167","2019-11-01 10:04:43","1"
"1","9","2019-11-14","2019-11-17","B81167","2019-11-01 10:04:43","B81167","2019-11-01 10:04:43","2"
"1","10","2019-11-18","2019-11-18","B81167","2019-11-01 10:04:43","B81167","2019-11-01 10:04:43","1"
"1","12","2019-11-19","2019-11-19","B81167","2019-11-01 10:04:43","B81167","2019-11-01 10:04:43","1"
"1","14","2019-11-20","2019-11-20","B81167","2019-11-01 10:04:44","B81167","2019-11-01 10:04:44","1"
"1","15","2019-11-21","2019-11-24","B81167","2019-11-01 10:04:44","B81167","2019-11-01 10:04:44","2"
"1","16","2019-11-25","2019-11-25","B81167","2019-11-01 10:04:44","B81167","2019-11-01 10:04:44","1"
"1","18","2019-11-26","2019-11-26","B81167","2019-11-01 10:04:44","B81167","2019-11-01 10:04:44","1"
"1","20","2019-11-27","2019-11-27","B81167","2019-11-01 10:04:45","B81167","2019-11-01 10:04:45","1"
"1","21","2019-11-28","2019-12-08","B81167","2019-11-01 10:04:45","B81167","2019-11-01 10:04:45","2"
"1","22","2019-12-09","2019-12-09","B81167","2019-11-01 10:04:45","B81167","2019-11-01 10:04:45","1"
"1","24","2019-12-10","2019-12-10","B81167","2019-11-01 10:04:45","B81167","2019-11-01 10:04:45","1"
"1","26","2019-12-11","2019-12-11","B81167","2019-11-01 10:04:45","B81167","2019-11-01 10:04:45","1"
"1","27","2019-12-12","2019-12-16","B81167","2019-11-01 10:04:45","B81167","2019-11-01 10:04:46","2"
"1","28","2019-12-17","2019-12-17","B81167","2019-11-01 10:04:46","B81167","2019-11-01 10:04:46","1"
"1","31","2019-12-19","2019-12-22","B81167","2019-11-01 10:04:46","B81167","2019-11-01 10:04:46","2"
"1","32","2019-12-23","2019-12-23","B81167","2019-11-01 10:04:46","B81167","2019-11-01 10:04:46","1"
"1","34","2019-12-24","2019-12-24","B81167","2019-11-01 10:04:46","B81167","2019-11-01 10:04:46","1"
"1","36","2019-12-25","2019-12-25","B81167","2019-11-01 10:04:46","B81167","2019-11-01 10:04:46","1"
"1","37","2019-12-26","2019-12-29","B81167","2019-11-01 10:04:46","B81167","2019-11-01 10:04:46","2"
"1","38","2019-12-30","2019-12-30","B81167","2019-11-01 10:04:46","B81167","2019-11-01 10:04:46","1"
"1","40","2019-12-31","2019-12-31","B81167","2019-11-01 10:04:46","B81167","2019-11-01 10:04:46","1"
"1","41","2020-01-01","2020-01-05","B81167","2019-11-01 10:04:46","B81167","2019-11-01 10:04:47","2"
"1","42","2020-01-06","2020-01-06","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","44","2020-01-07","2020-01-07","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","45","2020-01-08","2020-01-13","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","2"
"1","46","2020-01-14","2020-01-14","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","47","2020-01-15","2020-01-19","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","2"
"1","48","2020-01-20","2020-01-20","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","50","2020-01-21","2020-01-21","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","52","2020-01-22","2020-01-22","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","53","2020-01-23","2020-01-26","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","2"
"1","54","2020-01-27","2020-01-27","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","56","2020-01-28","2020-01-28","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","58","2020-01-29","2020-01-29","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","59","2020-01-30","2020-02-02","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","2"
"1","60","2020-02-03","2020-02-03","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","62","2020-02-04","2020-02-04","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
"1","64","2020-02-05","2020-02-05","B81167","2019-11-01 10:04:47","B81167","2019-11-01 10:04:47","1"
