"LINEGROUP_ID","SEQ_NO","LINEGROUP_NAME","LINEGROUP_NAME_SHORT","OUTSIDE_RESERVATION","DO_NOT_SPECIFY_LINE_FG","LINEGROUP_TYPE","VACCINE_FG","RABIES_FG","SAME_TIME_LIMIT","LINEGROUP_CANCELLATION_DAYS","LINEGROUP_START_DAYS","LINEGROUP_END_DAYS","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","1","子宮がん検診","子宮がん検診","0","0","0","0","0",\N,"7","6000","2","A2636","2018-05-09 11:57:06","A3211","2019-10-15 09:54:50","0","6"
"2","2","子宮卵巣ドック（子宮がん検診+腫瘍マーカー）","子宮卵巣ドック（子宮がん検診+腫瘍マーカー）","0","0","0","0","0",\N,"7","6000","2","A2636","2018-05-09 12:17:08","A3211","2019-10-15 09:54:58","0","5"
"3","3","【当日結果説明】【女性医師・技師】乳がん検診（乳腺エコー）","【当日結果説明】【女性医師・技師】乳がん検診（乳腺エコー）","0","0","0","0","0",\N,"7","3000","13","A2636","2018-05-09 12:21:57","A3211","2019-10-15 09:55:07","0","7"
"4","4","【当日結果説明】【女性医師・技師】乳がん検診（乳腺エコーとマンモグラフィ）","【当日結果説明】【女性医師・技師】乳がん検診（乳腺エコーとマンモ","0","0","0","0","0",\N,"7","3000","13","A2636","2018-05-09 12:24:36","A3211","2019-10-15 09:55:15","0","5"
"5","5","【女性医師・技師】骨盤MRI検査","【女性医師・技師】骨盤MRI検査","0","0","0","0","0",\N,"7","6000","6","A2636","2018-05-09 12:30:45","A3211","2019-10-15 09:55:24","0","4"
"6","6","婦人科プレミアム検査（診察・骨盤MRI検査・子宮頸部細胞診）","婦人科プレミアム検査（診察・骨盤MRI検査・子宮頸部細胞診）","0","0","0","0","0",\N,"7","6000","6","A2636","2018-05-09 12:40:32","A3211","2019-10-15 09:55:32","0","5"
"7","7","【女性医師・技師】乳腺MRI検査","【女性医師・技師】乳腺MRI検査","0","0","0","0","0",\N,"7","3000","6","A2636","2018-05-09 12:44:24","A3211","2019-10-15 09:55:41","0","4"
"8","8","【女性医師・技師】乳腺プレミアム検査（診察・マンモグラフィ検査・乳房MRI検査）","【女性医師・技師】乳腺プレミアム検査（診察・マンモグラフィ検査・","0","0","0","0","0",\N,"7","3000","6","A2636","2018-05-09 12:48:26","A3211","2019-10-15 09:55:49","0","4"
"9","9","【女性医師】脳ドック（夫婦でも受診可能）","【女性医師】脳ドック（夫婦でも受診可能）","0","0","0","0","0",\N,"7","6000","6","A2636","2018-05-09 12:52:19","A3211","2019-10-15 09:55:57","0","9"
"10","10","健保コース","健保コース","0","0","0","0","0",\N,"7","6000","6","A2636","2018-05-09 12:53:02","A2636","2018-05-09 12:53:02","0","1"
"11","11","子宮がん検診※増税後価格","子宮がん検診※増税後価格","1","0","0","0","0",\N,"7","6000","2","A3220","2019-09-05 18:37:27","A3211","2019-10-15 09:54:43","0","4"
"12","12","子宮卵巣ドック（子宮がん検診+腫瘍マーカー）※増税後価格","子宮卵巣ドック（子宮がん検診+腫瘍マーカー）※増税後価格","1","0","0","0","0",\N,"7","6000","2","A3220","2019-09-05 18:37:52","A3211","2019-10-15 09:56:08","0","5"
"13","13","【当日結果説明】【女性医師・技師】乳がん検診（乳腺エコー）※増税後価格","【当日結果説明】【女性医師・技師】乳がん検診（乳腺エコー）※増税","1","0","0","0","0",\N,"7","3000","13","A3220","2019-09-05 18:38:21","A3211","2019-10-15 09:56:19","0","4"
"14","14","【当日結果説明】【女性医師・技師】乳がん検診（乳腺エコーとマンモグラフィ）※増税後価格","【当日結果説明】【女性医師・技師】乳がん検診（乳腺エコーとマンモ","1","0","0","0","0",\N,"7","3000","13","A3220","2019-09-05 18:38:47","A3211","2019-10-15 09:56:28","0","5"
"15","15","【女性医師・技師】骨盤MRI検査※増税後価格","【女性医師・技師】骨盤MRI検査※増税後価格","1","0","0","0","0",\N,"7","6000","6","A3220","2019-09-05 18:39:18","A3211","2019-10-15 09:56:40","0","6"
"16","16","婦人科プレミアム検査（診察・骨盤MRI検査・子宮頸部細胞診）※増税後価格","婦人科プレミアム検査（診察・骨盤MRI検査・子宮頸部細胞診）※増","1","0","0","0","0",\N,"7","6000","6","A3220","2019-09-05 18:40:14","A3211","2019-10-15 09:57:01","0","6"
"17","17","【女性医師・技師】乳腺MRI検査※増税後価格","【女性医師・技師】乳腺MRI検査※増税後価格","1","0","0","0","0",\N,"7","3000","6","A3220","2019-09-05 18:40:37","A3211","2019-10-15 09:57:11","0","6"
"18","18","【女性医師・技師】乳腺プレミアム検査（診察・マンモグラフィ検査・乳房MRI検査）※増税後価格","【女性医師・技師】乳腺プレミアム検査（診察・マンモグラフィ検査・","1","0","0","0","0",\N,"7","3000","6","A3220","2019-09-05 18:41:04","A3211","2019-10-15 09:57:18","0","7"
"19","19","【女性医師】脳ドック（夫婦でも受診可能）※増税後価格","【女性医師】脳ドック（夫婦でも受診可能）※増税後価格","1","0","0","0","0",\N,"7","6000","6","A3220","2019-09-05 18:46:19","A3211","2019-10-15 09:57:26","0","6"
