"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","2",\N,"3","158","1","2019-05-08","3","雇用時健康診断","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-04-26 10:18:18","A2062","2019-04-26 19:45:35","1","2"
"2","2",\N,"3","158","1","2019-05-08","3","雇用時健康診断","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-04-26 10:18:18","A2062","2019-04-26 19:45:35","1","2"
"3","2",\N,"3","157","1","2019-05-14","2","雇用時健康診断","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A2062","2019-04-26 19:45:35","A2062","2019-04-26 19:45:35","0","1"
"4","2",\N,"3","157","1","2019-05-14","2","雇用時健康診断","帯1","0",\N,"1","0","0000","2300","1","1","1","A2062","2019-04-26 19:45:35","A2062","2019-04-26 19:45:35","0","1"
"5","2",\N,"3","158","1","2019-05-17","5","雇用時健康診断","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-05-10 08:22:48","A2062","2019-05-10 11:24:20","1","2"
"6","2",\N,"3","158","1","2019-05-17","5","雇用時健康診断","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-05-10 08:22:48","A2062","2019-05-10 11:24:20","1","2"
"7","2",\N,"3","158","1","2019-05-10","5","雇用時健康診断","帯1","0",\N,"2","0","0000","2300","1","9",\N,"A2062","2019-05-10 11:24:20","A2062","2019-05-10 16:32:38","1","2"
"8","2",\N,"3","158","1","2019-05-10","5","雇用時健康診断","帯1","0",\N,"2","0","0000","2300","1","1","1","A2062","2019-05-10 11:24:20","A2062","2019-05-10 16:32:38","1","2"
"9","2",\N,"3","158","1","2019-05-17","5","雇用時健康診断","帯1","0",\N,"2","0","0000","2300","1","9",\N,"A2062","2019-05-10 16:32:38","A2062","2019-05-10 16:32:38","0","1"
"10","2",\N,"3","158","1","2019-05-17","5","雇用時健康診断","帯1","0",\N,"2","0","0000","2300","1","1","1","A2062","2019-05-10 16:32:38","A2062","2019-05-10 16:32:38","0","1"
"11","2",\N,"3","157","1","2019-08-27","2","雇用時健康診断","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-08-19 13:12:44","CUSTUMER","2019-08-19 13:12:44","0","1"
"12","2",\N,"3","157","1","2019-08-27","2","雇用時健康診断","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-08-19 13:12:44","CUSTUMER","2019-08-19 13:12:44","0","1"
"13","2",\N,"3","157","1","2019-11-30","6","雇用時健康診断","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-11-11 10:28:05","CUSTUMER","2019-11-11 10:28:05","0","1"
"14","2",\N,"3","157","1","2019-11-30","6","雇用時健康診断","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-11-11 10:28:05","CUSTUMER","2019-11-11 10:28:05","0","1"
