"SITE_OPERATE_LOG_ID","OPERATE_DATE","USER_ID","USER_NAME","IP","MENU","PAGE","BUTTON","OPERATE_CONTENT","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION","DELETE_FG"
"1","2018-11-09 10:16:19","m0250777","医療法人　豊岡会","221.117.118.154","ログイン","ログイン","ログイン","ユーザー名[医療法人　豊岡会]がログインしました。","A2867","2018-11-09 10:16:19","BA004","2019-11-10 03:11:01","2","1"
"2","2018-11-09 10:39:15","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","検査コース登録","登録","検査コースを登録しました。（検査コースID：[1]）","A2867","2018-11-09 10:39:15","BA004","2019-11-10 03:11:01","2","1"
"3","2018-11-09 10:41:02","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[1]）","A2867","2018-11-09 10:41:02","BA004","2019-11-10 03:11:01","2","1"
"4","2018-11-09 10:41:11","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[2]）","A2867","2018-11-09 10:41:11","BA004","2019-11-10 03:11:01","2","1"
"5","2018-11-09 10:41:17","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[3]）","A2867","2018-11-09 10:41:17","BA004","2019-11-10 03:11:01","2","1"
"6","2018-11-09 10:41:23","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[4]）","A2867","2018-11-09 10:41:23","BA004","2019-11-10 03:11:01","2","1"
"7","2018-11-09 10:41:30","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[5]）","A2867","2018-11-09 10:41:30","BA004","2019-11-10 03:11:01","2","1"
"8","2018-11-09 10:42:11","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:42:11","BA004","2019-11-10 03:11:01","2","1"
"9","2018-11-09 10:42:55","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:42:55","BA004","2019-11-10 03:11:01","2","1"
"10","2018-11-09 10:43:58","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:43:58","BA004","2019-11-10 03:11:01","2","1"
"11","2018-11-09 10:44:49","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:44:49","BA004","2019-11-10 03:11:01","2","1"
"12","2018-11-09 10:45:23","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:45:23","BA004","2019-11-10 03:11:01","2","1"
"13","2018-11-09 10:46:58","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[6]）","A2867","2018-11-09 10:46:58","BA004","2019-11-10 03:11:01","2","1"
"14","2018-11-09 10:47:59","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:47:59","BA004","2019-11-10 03:11:01","2","1"
"15","2018-11-09 10:48:12","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[7]）","A2867","2018-11-09 10:48:13","BA004","2019-11-10 03:11:01","2","1"
"16","2018-11-09 10:48:22","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[8]）","A2867","2018-11-09 10:48:22","BA004","2019-11-10 03:11:01","2","1"
"17","2018-11-09 10:48:33","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[9]）","A2867","2018-11-09 10:48:33","BA004","2019-11-10 03:11:01","2","1"
"18","2018-11-09 10:50:47","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:50:47","BA004","2019-11-10 03:11:01","2","1"
"19","2018-11-09 10:52:40","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:52:40","BA004","2019-11-10 03:11:01","2","1"
"20","2018-11-09 10:54:36","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:54:36","BA004","2019-11-10 03:11:01","2","1"
"21","2018-11-09 10:54:58","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[10]）","A2867","2018-11-09 10:54:58","BA004","2019-11-10 03:11:01","2","1"
"22","2018-11-09 10:57:31","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:57:31","BA004","2019-11-10 03:11:01","2","1"
"23","2018-11-09 10:57:47","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[11]）","A2867","2018-11-09 10:57:47","BA004","2019-11-10 03:11:01","2","1"
"24","2018-11-09 10:58:00","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[12]）","A2867","2018-11-09 10:58:00","BA004","2019-11-10 03:11:01","2","1"
"25","2018-11-09 10:58:12","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[13]）","A2867","2018-11-09 10:58:12","BA004","2019-11-10 03:11:01","2","1"
"26","2018-11-09 10:59:13","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 10:59:13","BA004","2019-11-10 03:11:01","2","1"
"27","2018-11-09 11:01:05","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 11:01:05","BA004","2019-11-10 03:11:01","2","1"
"28","2018-11-09 11:03:21","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","オプション登録","登録","オプションを登録しました。（オプションID：[1]）","A2867","2018-11-09 11:03:21","BA004","2019-11-10 03:11:01","2","1"
"29","2018-11-09 11:04:22","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","休日設定","保存","休日設定を保存しました。","A2867","2018-11-09 11:04:22","BA004","2019-11-10 03:11:01","2","1"
"30","2018-11-09 11:04:52","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","カレンダー登録","登録","カレンダーを登録しました。（カレンダーID：[1]）","A2867","2018-11-09 11:04:52","BA004","2019-11-10 03:11:01","2","1"
"31","2018-11-09 11:05:03","OEM10140417-forneeds","forneeds","221.117.118.154","受付管理","診療時間の設定","設定を保存","診療時間設定を保存しました。（カレンダーID：[1]）","A2867","2018-11-09 11:05:03","BA004","2019-11-10 03:11:01","2","1"
"32","2018-11-12 12:33:30","m0250777","医療法人　豊岡会","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[医療法人　豊岡会]がログインしました。","A2636","2018-11-12 12:33:30","BA004","2019-11-13 03:11:05","2","1"
"33","2018-11-12 12:44:38","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[1]）","A2636","2018-11-12 12:44:38","BA004","2019-11-13 03:11:05","2","1"
"34","2018-11-12 12:46:00","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[1]）","A2636","2018-11-12 12:46:00","BA004","2019-11-13 03:11:05","2","1"
"35","2018-11-12 12:47:05","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース登録","登録","検査コースを登録しました。（検査コースID：[2]）","A2636","2018-11-12 12:47:05","BA004","2019-11-13 03:11:05","2","1"
"36","2018-11-12 12:48:28","OEM10140417-cs","cs-team","118.238.205.212","受付管理","カレンダー登録","登録","カレンダーを登録しました。（カレンダーID：[2]）","A2636","2018-11-12 12:48:28","BA004","2019-11-13 03:11:05","2","1"
"37","2018-11-12 12:48:43","OEM10140417-cs","cs-team","118.238.205.212","受付管理","診療時間の設定","設定を保存","診療時間設定を保存しました。（カレンダーID：[2]）","A2636","2018-11-12 12:48:43","BA004","2019-11-13 03:11:05","2","1"
"38","2018-11-12 16:06:27","m0250777","医療法人　豊岡会","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[医療法人　豊岡会]がログインしました。","A2636","2018-11-12 16:06:27","BA004","2019-11-13 03:11:05","2","1"
"39","2018-11-12 16:07:19","OEM10140417-cs","cs-team","118.238.205.212","受付管理","基本設定","保存","基本設定を保存しました。","A2636","2018-11-12 16:07:19","BA004","2019-11-13 03:11:05","2","1"
"40","2018-11-12 16:07:33","OEM10140417-cs","cs-team","118.238.205.212","受付管理","基本設定","保存","基本設定を保存しました。","A2636","2018-11-12 16:07:33","BA004","2019-11-13 03:11:05","2","1"
"41","2018-11-21 15:49:37","m0250777","医療法人　豊岡会","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[医療法人　豊岡会]がログインしました。","A2636","2018-11-21 15:49:37","BA004","2019-11-22 03:11:01","2","1"
"42","2018-11-21 15:51:15","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[1]）","A2636","2018-11-21 15:51:15","BA004","2019-11-22 03:11:01","2","1"
"43","2018-11-21 15:51:42","OEM10140417-cs","cs-team","118.238.205.212","受付管理","オプショングループ登録","登録","オプショングループを登録しました。（オプショングループID：[14]）","A2636","2018-11-21 15:51:42","BA004","2019-11-22 03:11:01","2","1"
